fpl,understat,fpl_2024-25
Wout Faes,Wout Faes,291.0
Joël Veltman,Joël Veltman,145.0
Kurt Zouma,Kurt Zouma,532.0
Aaron Cresswell,Aaron Cresswell,517.0
Scott McTominay,Scott McTominay,381.0
John McGinn,John McGinn,48.0
Jadon Sancho,Jadon Sancho,386.0
Curtis Jones,Curtis Jones,324.0
Eddie Nketiah,Eddie Nketiah,11.0
Pierre-Emile Højbjerg,Pierre-Emile Højbjerg,490.0
Taiwo Awoniyi,Taiwo Awoniyi,424.0
Amadou Onana,Amadou Onana,233.0
George Hirst,George Hirst,272.0
André Onana,André Onana,383.0
Conor Bradley,Conor Bradley,313.0
Konstantinos Tsimikas,Konstantinos Tsimikas,337.0
Ethan Nwaneri,Ethan Nwaneri,12.0
Neco Williams,Neco Williams,437.0
Wilson Odobert,Wilson Odobert,612.0
Enes Ünal,Enes Ünal,65.0
Riccardo Calafiori,Riccardo Calafiori,578.0
Sandro Tonali,Sandro Tonali,417.0
William Saliba,William Saliba,18.0
Enzo Fernández,Enzo Fernández,168.0
Luke Shaw,Luke Shaw,387.0
Anthony Elanga,Anthony Elanga,432.0
Yoane Wissa,Yoane Wissa,110.0
Erling Haaland,Erling Haaland,351.0
Illia Zabarnyi,Illia Zabarnyi,85.0
Harry Maguire,Harry Maguire,377.0
Sepp van den Berg,Sepp van den Berg,338.0
Julián Álvarez,Julián Álvarez,352.0
Lewis Dunk,Lewis Dunk,120.0
Luis Sinisterra,Luis Sinisterra,80.0
Jørgen Strand Larsen,Jørgen Strand Larsen,566.0
Charlie Taylor,Charlie Taylor,475.0
Frank Onyeka,Frank Onyeka,102.0
Kobbie Mainoo,Kobbie Mainoo,378.0
Ben Chilwell,Ben Chilwell,160.0
Ben Davies,Ben Davies,484.0
Matthijs de Ligt,Matthijs de Ligt,593.0
Tim Iroegbunam,Tim Iroegbunam,226.0
Kiernan Dewsbury-Hall,Kiernan Dewsbury-Hall,166.0
Kristoffer Ajer,Kristoffer Ajer,86.0
Ben Doak,Ben Doak,318.0
Tyrick Mitchell,Tyrick Mitchell,210.0
Phil Foden,Phil Foden,348.0
Sam Morsy,Sam Morsy,278.0
Solly March,Solly March,132.0
Odsonne Edouard,Odsonne Edouard,198.0
Toby Collyer,Toby Collyer,613.0
Adam Lallana,Adam Lallana,463.0
Trent Alexander-Arnold,Trent Alexander-Arnold,311.0
Micky van de Ven,Micky van de Ven,506.0
Mads Hermansen,Mads Hermansen,293.0
Craig Dawson,Craig Dawson,542.0
Aaron Hickey,Aaron Hickey,93.0
Joe Worrall,Joe Worrall,448.0
Mario Lemina,Mario Lemina,557.0
Manuel Akanji,Manuel Akanji,340.0
Dean Henderson,Dean Henderson,201.0
Ian Maatsen,Ian Maatsen,45.0
Anthony Gordon,Anthony Gordon,398.0
Jaidon Anthony,Jaidon Anthony,61.0
David Brooks,David Brooks,62.0
Julio Enciso,Julio Enciso,121.0
Adama Traoré,Adama Traoré,239.0
Bukayo Saka,Bukayo Saka,17.0
Evan Ferguson,Evan Ferguson,123.0
Ben Brereton Díaz,Ben Brereton Díaz,584.0
Stephy Mavididi,Stephy Mavididi,298.0
Yankuba Minteh,Yankuba Minteh,135.0
Lewis Dobbin,Lewis Dobbin,37.0
James Justin,James Justin,295.0
Alexis Mac Allister,Alexis Mac Allister,329.0
Harrison Reed,Harrison Reed,254.0
William Osula,William Osula,590.0
Kevin De Bruyne,Kevin De Bruyne,345.0
Massimo Luongo,Massimo Luongo,277.0
Mats Wieffer,Mats Wieffer,149.0
Calvin Bassey,Calvin Bassey,241.0
Georginio Rutter,Georginio Rutter,618.0
Sam Johnstone,Sam Johnstone,204.0
Keane Lewis-Potter,Keane Lewis-Potter,98.0
Leon Bailey,Leon Bailey,28.0
Kieran Trippier,Kieran Trippier,418.0
Youri Tielemans,Youri Tielemans,57.0
Marcos Senesi,Marcos Senesi,79.0
Adam Armstrong,Adam Armstrong,453.0
Joe Willock,Joe Willock,420.0
Ferdi Kadioglu,Ferdi Kadioglu,628.0
Emil Krafth,Emil Krafth,405.0
Ali Al-Hamadi,Ali Al-Hamadi,260.0
Mikkel Damsgaard,Mikkel Damsgaard,89.0
Jurriën Timber,Jurriën Timber,6.0
Oleksandr Zinchenko,Oleksandr Zinchenko,25.0
Issa Diop,Issa Diop,245.0
Danny Ings,Danny Ings,523.0
Marcus Tavernier,Marcus Tavernier,83.0
Jamie Vardy,Jamie Vardy,306.0
Tommy Doyle,Tommy Doyle,544.0
Rico Lewis,Rico Lewis,355.0
Moussa Diaby,Moussa Diaby,34.0
Nicolas Jackson,Nicolas Jackson,180.0
Lewis Cook,Lewis Cook,64.0
Malo Gusto,Malo Gusto,171.0
Jakub Kiwior,Jakub Kiwior,8.0
Mason Mount,Mason Mount,382.0
Bernd Leno,Bernd Leno,248.0
Myles Lewis-Skelly,Myles Lewis-Skelly,597.0
Abdoulaye Doucouré,Abdoulaye Doucouré,217.0
Harvey Elliott,Harvey Elliott,319.0
Harry Winks,Harry Winks,309.0
Raúl Jiménez,Raúl Jiménez,252.0
Willy Boly,Willy Boly,425.0
Joshua Zirkzee,Joshua Zirkzee,389.0
Kevin Schade,Kevin Schade,106.0
Matt Doherty,Matt Doherty,543.0
Neal Maupay,Neal Maupay,229.0
Wes Foderingham,Wes Foderingham,522.0
Will Hughes,Will Hughes,203.0
Ben Johnson,Ben Johnson,275.0
Callum Wilson,Callum Wilson,421.0
Dominik Szoboszlai,Dominik Szoboszlai,336.0
Niclas Füllkrug,Niclas Füllkrug,589.0
Yerson Mosquera,Yerson Mosquera,558.0
Nathan Aké,Nathan Aké,341.0
Reece James,Reece James,172.0
Josh Dasilva,Josh Dasilva,90.0
Sander Berge,Sander Berge,622.0
Mark Flekken,Mark Flekken,91.0
Pedro Porro,Pedro Porro,495.0
Ryan Trevitt,Ryan Trevitt,602.0
Lucas Digne,Lucas Digne,36.0
Axel Disasi,Axel Disasi,167.0
Sean Longstaff,Sean Longstaff,410.0
Jean-Philippe Mateta,Jean-Philippe Mateta,207.0
Rasmus Højlund,Rasmus Højlund,375.0
Pablo Sarabia,Pablo Sarabia,565.0
Nicolás Domínguez,Nicolás Domínguez,431.0
Jack Clarke,Jack Clarke,631.0
Oliver Skipp,Oliver Skipp,501.0
Noussair Mazraoui,Noussair Mazraoui,594.0
Mahmoud Dahoud,Mahmoud Dahoud,119.0
Alex Scott,Alex Scott,77.0
Christopher Nkunku,Christopher Nkunku,181.0
Axel Tuanzebe,Axel Tuanzebe,282.0
Kasey McAteer,Kasey McAteer,299.0
Jesurun Rak-Sakyi,Jesurun Rak-Sakyi,213.0
Orel Mangala,Orel Mangala,651.0
Jonny Evans,Jonny Evans,371.0
Ollie Watkins,Ollie Watkins,58.0
Ryan Christie,Ryan Christie,63.0
Michael Keane,Michael Keane,228.0
Morgan Gibbs-White,Morgan Gibbs-White,433.0
Harry Wilson,Harry Wilson,259.0
Jason Steele,Jason Steele,142.0
Virgil van Dijk,Virgil van Dijk,339.0
Roman Dixon,Roman Dixon,627.0
Matt Turner,Matt Turner,445.0
Federico Chiesa,Federico Chiesa,636.0
Vitaly Janelt,Vitaly Janelt,94.0
Lamare Bogarde,Lamare Bogarde,598.0
Ben Mee,Ben Mee,100.0
Jordan Pickford,Jordan Pickford,235.0
Dwight McNeil,Dwight McNeil,230.0
Joel Ward,Joel Ward,215.0
Kenny Tete,Kenny Tete,257.0
Jack Taylor,Jack Taylor,281.0
Conor Gallagher,Conor Gallagher,169.0
Ramón Sosa,Ramón Sosa,620.0
Daniel Muñoz,Daniel Muñoz,211.0
Kyle Walker-Peters,Kyle Walker-Peters,476.0
Mohamed Salah,Mohamed Salah,328.0
Ryan Fraser,Ryan Fraser,397.0
Billy Gilmour,Billy Gilmour,124.0
Bilal El Khannouss,Bilal El Khannouss,635.0
Rico Henry,Rico Henry,92.0
Ethan Pinnock,Ethan Pinnock,104.0
Aaron Wan-Bissaka,Aaron Wan-Bissaka,388.0
Jannik Vestergaard,Jannik Vestergaard,307.0
Harrison Armstrong,Harrison Armstrong,603.0
Jacob Greaves,Jacob Greaves,270.0
Mathias Jensen,Mathias Jensen,95.0
Jhon Durán,Jhon Durán,38.0
Jarrad Branthwaite,Jarrad Branthwaite,219.0
Ross Barkley,Ross Barkley,29.0
Ross Stewart,Ross Stewart,473.0
Declan Rice,Declan Rice,16.0
Mikey Moore,Mikey Moore,610.0
Jake O'Brien,Jake O'Brien,582.0
Kai Havertz,Kai Havertz,4.0
Ryan Gravenberch,Ryan Gravenberch,323.0
Jean-Clair Todibo,Jean-Clair Todibo,591.0
Dan Burn,Dan Burn,395.0
Simon Adingra,Simon Adingra,113.0
Alex Iwobi,Alex Iwobi,247.0
Jan Bednarek,Jan Bednarek,455.0
Caleb Okoli,Caleb Okoli,301.0
Archie Gray,Archie Gray,489.0
Ilkay Gündogan,Ilkay Gündogan,625.0
Nathan Patterson,Nathan Patterson,234.0
Jack Grealish,Jack Grealish,349.0
Adam Wharton,Adam Wharton,216.0
Morgan Rogers,Morgan Rogers,54.0
Maxwel Cornet,Maxwel Cornet,515.0
Carlos Baleba,Carlos Baleba,115.0
Carlos Soler,Carlos Soler,654.0
Max Aarons,Max Aarons,59.0
Christian Nørgaard,Christian Nørgaard,101.0
Harvey Barnes,Harvey Barnes,392.0
Adam Webster,Adam Webster,147.0
Arijanet Muric,Arijanet Muric,568.0
Cristian Romero,Cristian Romero,498.0
Cody Gakpo,Cody Gakpo,321.0
Noni Madueke,Noni Madueke,177.0
Brennan Johnson,Brennan Johnson,491.0
Conor Chaplin,Conor Chaplin,265.0
Jack Stephens,Jack Stephens,472.0
Jeffrey Schlupp,Jeffrey Schlupp,214.0
Jordan Ayew,Jordan Ayew,192.0
Manuel Ugarte,Manuel Ugarte,652.0
Ezri Konsa Ngoyo,Ezri Konsa Ngoyo,44.0
Andy Irving,Andy Irving,576.0
Facundo Buonanotte,Facundo Buonanotte,117.0
Lisandro Martínez,Lisandro Martínez,380.0
Ibrahima Konaté,Ibrahima Konaté,326.0
Chris Mepham,Chris Mepham,72.0
Jarell Quansah,Jarell Quansah,333.0
Adam Smith,Adam Smith,81.0
Konstantinos Mavropanos,Konstantinos Mavropanos,528.0
Antoine Semenyo,Antoine Semenyo,78.0
Leandro Trossard,Leandro Trossard,23.0
Pascal Groß,Pascal Groß,125.0
Mason Holgate,Mason Holgate,225.0
Danny Welbeck,Danny Welbeck,148.0
Alejandro Garnacho,Alejandro Garnacho,372.0
Ryan Yates,Ryan Yates,449.0
Harry Toffolo,Harry Toffolo,444.0
James Maddison,James Maddison,494.0
Matt Targett,Matt Targett,416.0
Conor Coady,Conor Coady,288.0
Christian Eriksen,Christian Eriksen,370.0
Dominic Calvert-Lewin,Dominic Calvert-Lewin,220.0
James Milner,James Milner,134.0
Dean Huijsen,Dean Huijsen,580.0
Luke Woolfenden,Luke Woolfenden,284.0
Ashley Young,Ashley Young,238.0
Alphonse Areola,Alphonse Areola,513.0
Lloyd Kelly,Lloyd Kelly,404.0
Samuel Amo-Ameyaw,Samuel Amo-Ameyaw,451.0
Idrissa Gueye,Idrissa Gueye,222.0
Robin Olsen,Robin Olsen,51.0
Yasin Ayari,Yasin Ayari,600.0
Chiedozie Ogbene,Chiedozie Ogbene,632.0
Kalvin Phillips,Kalvin Phillips,359.0
Jan Paul van Hecke,Jan Paul van Hecke,144.0
George Edmundson,George Edmundson,269.0
Rodrigo Bentancur,Rodrigo Bentancur,480.0
Kyle Walker,Kyle Walker,363.0
Carney Chukwuemeka,Carney Chukwuemeka,161.0
Victor Kristiansen,Victor Kristiansen,296.0
Elliot Anderson,Elliot Anderson,423.0
Guglielmo Vicario,Guglielmo Vicario,508.0
Vitalii Mykolenko,Vitalii Mykolenko,231.0
Flynn Downes,Flynn Downes,518.0
Jack Harrison,Jack Harrison,224.0
Justin Kluivert,Justin Kluivert,71.0
Jacob Murphy,Jacob Murphy,402.0
Callum Hudson-Odoi,Callum Hudson-Odoi,434.0
Mohammed Kudus,Mohammed Kudus,525.0
Jean-Ricner Bellegarde,Jean-Ricner Bellegarde,535.0
Aaron Ramsdale,Aaron Ramsdale,14.0
Lewis Hall,Lewis Hall,399.0
Jack Hinshelwood,Jack Hinshelwood,126.0
Max Kilman,Max Kilman,524.0
Marcus Rashford,Marcus Rashford,385.0
Tyler Dibling,Tyler Dibling,608.0
Reiss Nelson,Reiss Nelson,10.0
Chris Wood,Chris Wood,447.0
Tyrone Mings,Tyrone Mings,49.0
Dara O'Shea,Dara O'Shea,630.0
James Garner,James Garner,223.0
Abdul Fatawu,Abdul Fatawu,570.0
Taylor Harwood-Bellis,Taylor Harwood-Bellis,461.0
Wes Burns,Wes Burns,264.0
Liam Delap,Liam Delap,268.0
Caoimhin Kelleher,Caoimhin Kelleher,325.0
Luis Díaz,Luis Díaz,327.0
Crysencio Summerville,Crysencio Summerville,587.0
Tim Ream,Tim Ream,253.0
Hamza Choudhury,Hamza Choudhury,287.0
Antonee Robinson,Antonee Robinson,255.0
Lucas Bergvall,Lucas Bergvall,481.0
Pau Torres,Pau Torres,52.0
Chris Richards,Chris Richards,194.0
Wesley Fofana,Wesley Fofana,189.0
Milos Kerkez,Milos Kerkez,70.0
Timo Werner,Timo Werner,509.0
Samuel Edozie,Samuel Edozie,459.0
Joachim Andersen,Joachim Andersen,191.0
Daniel Jebbison,Daniel Jebbison,69.0
Jay Stansfield,Jay Stansfield,256.0
Jens Cajuste,Jens Cajuste,619.0
Alex McCarthy,Alex McCarthy,469.0
Wilfred Ndidi,Wilfred Ndidi,300.0
Nick Pope,Nick Pope,413.0
Mark Travers,Mark Travers,84.0
Tyler Adams,Tyler Adams,60.0
James McAtee,James McAtee,357.0
Raheem Sterling,Raheem Sterling,186.0
James Hill,James Hill,68.0
Jarrod Bowen,Jarrod Bowen,514.0
Iliman Ndiaye,Iliman Ndiaye,232.0
Philip Billing,Philip Billing,76.0
Dango Ouattara,Dango Ouattara,74.0
James Ward-Prowse,James Ward-Prowse,531.0
Christian Walton,Christian Walton,283.0
Bart Verbruggen,Bart Verbruggen,146.0
John Stones,John Stones,362.0
Cameron Archer,Cameron Archer,27.0
Boubacar Kamara,Boubacar Kamara,42.0
Cole Palmer,Cole Palmer,182.0
Naouirou Ahamada,Naouirou Ahamada,190.0
Thomas Partey,Thomas Partey,20.0
Robert Sánchez,Robert Sánchez,185.0
Mykhailo Mudryk,Mykhailo Mudryk,179.0
Tom Cairney,Tom Cairney,243.0
Eberechi Eze,Eberechi Eze,199.0
Fabian Schär,Fabian Schär,415.0
Alexander Isak,Alexander Isak,401.0
Ola Aina,Ola Aina,422.0
Dejan Kulusevski,Dejan Kulusevski,492.0
Victor Lindelöf,Victor Lindelöf,376.0
James Tarkowski,James Tarkowski,236.0
Daichi Kamada,Daichi Kamada,205.0
Maxence Lacroix,Maxence Lacroix,650.0
Guido Rodríguez,Guido Rodríguez,588.0
Tosin Adarabioyo,Tosin Adarabioyo,187.0
Andrew Robertson,Andrew Robertson,335.0
Yves Bissouma,Yves Bissouma,482.0
Nathaniel Clyne,Nathaniel Clyne,196.0
Santiago Bueno,Santiago Bueno,564.0
Leif Davis,Leif Davis,267.0
Nathan Collins,Nathan Collins,88.0
Jacob Ramsey,Jacob Ramsey,53.0
Bryan Mbeumo,Bryan Mbeumo,99.0
Matz Sels,Matz Sels,443.0
Manor Solomon,Manor Solomon,502.0
Giovani Lo Celso,Giovani Lo Celso,493.0
Michail Antonio,Michail Antonio,512.0
Levi Colwill,Levi Colwill,162.0
Djed Spence,Djed Spence,504.0
Sven Botman,Sven Botman,393.0
Pedro Lomba Neto,Pedro Neto,560.0
Facundo Pellistri Rebollo,Facundo Pellistri,384.0
Carlos Alcaraz Durán,Carlos Alcaraz,450.0
Yunus Emre Konak,Yunus Konak,97.0
Bruno Borges Fernandes,Bruno Fernandes,366.0
Toti António Gomes,Toti,567.0
André Trindade da Costa Neto,André,642.0
João Victor Gomes da Silva,João Gomes,553.0
Renato Palma Veiga,Renato Veiga,184.0
Miguel Almirón Rejala,Miguel Almirón,391.0
Marc Cucurella Saseta,Marc Cucurella,163.0
Rúben Gato Alves Dias,Rúben Dias,361.0
Gabriel Martinelli Silva,Gabriel Martinelli,9.0
Nélson Cabral Semedo,Nélson Semedo,559.0
