id,player_name,game_id,team_name,minutes,shots,goals,key_passes,assists,xG,xA
113166,Kepa,4020,Bournemouth,90,0,0,0,0,0.00,0.00
113167,Lewis Cook,4020,Bournemouth,90,0,0,0,0,0.00,0.00
113168,Dean Huijsen,4020,Bournemouth,90,0,0,0,0,0.00,0.00
113169,Illia Zabarnyi,4020,Bournemouth,90,0,0,0,0,0.00,0.00
113170,Milos Kerkez,4020,Bournemouth,90,0,0,0,0,0.00,0.00
113171,Tyler Adams,4020,Bournemouth,90,0,0,2,2,0.00,0.53
113172,Ryan Christie,4020,Bournemouth,90,1,0,1,0,0.06,0.04
113173,David Brooks,4020,Bournemouth,83,2,0,1,0,0.08,0.27
113174,Justin Kluivert,4020,Bournemouth,90,3,1,1,1,0.25,0.61
113175,Antoine Semenyo,4020,Bournemouth,90,4,1,3,0,0.56,0.20
113176,Dango Ouattara,4020,Bournemouth,90,4,3,0,0,1.73,0.00
113177,Marcus Tavernier,4020,Bournemouth,7,2,0,1,1,0.18,0.10
113178,Daniel Jebbison,4020,Bournemouth,1,0,0,0,0,0.00,0.00
113179,Zain Silcott-Duberry,4020,Bournemouth,1,0,0,0,0,0.00,0.00
113180,Matz Sels,4020,Nottingham Forest,90,0,0,0,0,0.00,0.00
113181,Ola Aina,4020,Nottingham Forest,82,0,0,0,0,0.00,0.00
113182,Murillo,4020,Nottingham Forest,90,1,0,0,0,0.01,0.00
113183,Nikola Milenkovic,4020,Nottingham Forest,90,3,0,0,0,0.19,0.00
113184,Neco Williams,4020,Nottingham Forest,70,1,0,0,0,0.02,0.00
113185,Ryan Yates,4020,Nottingham Forest,49,1,0,0,0,0.01,0.00
113186,Elliot Anderson,4020,Nottingham Forest,90,1,0,0,0,0.01,0.00
113187,Jota Silva,4020,Nottingham Forest,69,1,0,0,0,0.06,0.00
113188,Morgan Gibbs-White,4020,Nottingham Forest,82,3,0,4,0,0.40,0.18
113189,Anthony Elanga,4020,Nottingham Forest,90,5,0,5,0,0.22,0.25
113190,Chris Wood,4020,Nottingham Forest,90,0,0,1,0,0.00,0.06
113191,Nicolás Domínguez,4020,Nottingham Forest,41,0,0,1,0,0.00,0.26
113192,Taiwo Awoniyi,4020,Nottingham Forest,8,0,0,1,0,0.00,0.02
113193,Ramón Sosa,4020,Nottingham Forest,8,1,0,0,0,0.02,0.00
113194,Álex Moreno,4020,Nottingham Forest,20,0,0,0,0,0.00,0.00
113195,Morato,4020,Nottingham Forest,21,1,0,0,0,0.05,0.00
113196,Emiliano Martinez,4021,Aston Villa,90,0,0,0,0,0.00,0.00
113197,Matthew Cash,4021,Aston Villa,90,0,0,2,0,0.00,0.13
113198,Tyrone Mings,4021,Aston Villa,37,0,0,0,0,0.00,0.00
113199,Ezri Konsa Ngoyo,4021,Aston Villa,90,0,0,0,0,0.00,0.00
113200,Lucas Digne,4021,Aston Villa,90,2,0,1,0,0.08,0.07
113201,Youri Tielemans,4021,Aston Villa,90,1,0,1,0,0.04,0.05
113202,Boubacar Kamara,4021,Aston Villa,90,1,0,0,0,0.08,0.00
113203,Leon Bailey,4021,Aston Villa,74,2,0,2,0,0.18,0.12
113204,Morgan Rogers,4021,Aston Villa,81,0,0,0,0,0.00,0.00
113205,Jacob Ramsey,4021,Aston Villa,82,1,1,2,0,0.10,0.17
113206,Ollie Watkins,4021,Aston Villa,75,2,0,2,1,0.12,0.18
113207,Emiliano Buendía,4021,Aston Villa,9,1,0,0,0,0.02,0.00
113208,Jhon Durán,4021,Aston Villa,15,2,0,0,0,0.13,0.00
113209,Ian Maatsen,4021,Aston Villa,53,1,0,1,0,0.08,0.07
113210,Donyell Malen,4021,Aston Villa,16,1,0,0,0,0.06,0.00
113211,John McGinn,4021,Aston Villa,8,0,0,0,0,0.00,0.00
113212,Alphonse Areola,4021,West Ham,90,0,0,0,0,0.00,0.00
113213,Vladimir Coufal,4021,West Ham,90,0,0,1,0,0.00,0.11
113214,Max Kilman,4021,West Ham,90,0,0,0,0,0.00,0.00
113215,Aaron Cresswell,4021,West Ham,90,0,0,1,0,0.00,0.06
113216,Aaron Wan-Bissaka,4021,West Ham,90,0,0,2,0,0.00,0.08
113217,Emerson,4021,West Ham,84,2,1,1,0,0.41,0.50
113218,Tomas Soucek,4021,West Ham,90,2,0,0,0,0.10,0.00
113219,Edson Álvarez,4021,West Ham,90,2,0,1,1,0.05,0.30
113220,Mohammed Kudus,4021,West Ham,90,1,0,1,0,0.03,0.03
113221,Carlos Soler,4021,West Ham,84,1,0,0,0,0.30,0.00
113222,Lucas Paquetá,4021,West Ham,90,3,0,0,0,0.67,0.00
113223,Guido Rodríguez,4021,West Ham,1,0,0,0,0,0.00,0.00
113224,Danny Ings,4021,West Ham,6,1,0,1,0,0.04,0.03
113225,Oliver Scarles,4021,West Ham,6,0,0,0,0,0.00,0.00
113226,Andy Irving,4021,West Ham,1,2,0,0,0,0.07,0.00
113227,Bart Verbruggen,4022,Brighton,90,0,0,0,0,0.00,0.00
113228,Joël Veltman,4022,Brighton,90,2,0,2,0,0.06,0.10
113229,Jan Paul van Hecke,4022,Brighton,90,0,0,2,0,0.00,0.08
113230,Lewis Dunk,4022,Brighton,90,0,0,0,0,0.00,0.00
113231,Tariq Lamptey,4022,Brighton,81,1,0,1,0,0.07,0.04
113232,Carlos Baleba,4022,Brighton,90,3,0,1,0,0.06,0.05
113233,Yasin Ayari,4022,Brighton,82,1,0,2,0,0.06,0.07
113234,Brajan Gruda,4022,Brighton,53,0,0,1,0,0.00,0.02
113235,João Pedro,4022,Brighton,90,3,0,0,0,0.17,0.00
113236,Kaoru Mitoma,4022,Brighton,90,2,0,0,0,0.08,0.00
113237,Danny Welbeck,4022,Brighton,90,2,0,0,0,0.07,0.00
113238,Matt O'Riley,4022,Brighton,1,1,0,0,0,0.03,0.00
113239,Georginio Rutter,4022,Brighton,37,1,0,0,0,0.05,0.00
113240,Yankuba Minteh,4022,Brighton,9,0,0,0,0,0.00,0.00
113241,Jack Hinshelwood,4022,Brighton,8,0,0,0,0,0.00,0.00
113242,Adam Webster,4022,Brighton,1,0,0,0,0,0.00,0.00
113243,Jordan Pickford,4022,Everton,90,0,0,0,0,0.00,0.00
113244,Jake O'Brien,4022,Everton,90,0,0,0,0,0.00,0.00
113245,Jarrad Branthwaite,4022,Everton,90,0,0,0,0,0.00,0.00
113246,James Tarkowski,4022,Everton,90,0,0,0,0,0.00,0.00
113247,Vitalii Mykolenko,4022,Everton,90,0,0,0,0,0.00,0.00
113248,Orel Mangala,4022,Everton,90,1,0,0,0,0.01,0.00
113249,Idrissa Gueye,4022,Everton,90,0,0,1,0,0.00,0.10
113250,Jesper Lindstrom,4022,Everton,69,0,0,0,0,0.00,0.00
113251,Abdoulaye Doucouré,4022,Everton,85,0,0,0,0,0.00,0.00
113252,Iliman Ndiaye,4022,Everton,85,1,1,0,0,0.76,0.00
113253,Dominic Calvert-Lewin,4022,Everton,12,0,0,0,0,0.00,0.00
113254,Beto,4022,Everton,78,1,0,0,0,0.10,0.00
113255,Ashley Young,4022,Everton,5,0,0,0,0,0.00,0.00
113256,James Garner,4022,Everton,5,0,0,0,0,0.00,0.00
113257,Nathan Patterson,4022,Everton,21,0,0,0,0,0.00,0.00
113258,Dean Henderson,4023,Crystal Palace,90,0,0,0,0,0.00,0.00
113259,Maxence Lacroix,4023,Crystal Palace,90,2,0,0,0,0.14,0.00
113260,Chris Richards,4023,Crystal Palace,84,1,0,1,0,0.02,0.09
113261,Marc Guehi,4023,Crystal Palace,90,0,0,0,0,0.00,0.00
113262,Daniel Muñoz,4023,Crystal Palace,90,1,0,2,1,0.02,0.59
113263,Tyrick Mitchell,4023,Crystal Palace,90,0,0,1,0,0.00,0.06
113264,Jefferson Lerma,4023,Crystal Palace,90,2,0,0,0,0.03,0.00
113265,Will Hughes,4023,Crystal Palace,83,2,0,1,0,0.03,0.02
113266,Ismaila Sarr,4023,Crystal Palace,72,0,0,0,0,0.00,0.00
113267,Eberechi Eze,4023,Crystal Palace,90,5,0,5,0,0.25,0.13
113268,Jean-Philippe Mateta,4023,Crystal Palace,90,1,0,0,0,0.07,0.00
113269,Daichi Kamada,4023,Crystal Palace,6,0,0,0,0,0.00,0.00
113270,Eddie Nketiah,4023,Crystal Palace,18,1,0,0,0,0.09,0.00
113271,Romain Esse,4023,Crystal Palace,7,1,1,0,0,0.58,0.00
113272,Mark Flekken,4023,Brentford,90,0,0,0,0,0.00,0.00
113273,Mads Roerslev,4023,Brentford,90,1,0,1,0,0.03,0.02
113274,Nathan Collins,4023,Brentford,90,0,0,2,0,0.00,0.08
113275,Sepp van den Berg,4023,Brentford,90,1,0,0,0,0.08,0.00
113276,Keane Lewis-Potter,4023,Brentford,90,1,0,0,0,0.01,0.00
113277,Christian Nørgaard,4023,Brentford,54,0,0,0,0,0.00,0.00
113278,Vitaly Janelt,4023,Brentford,90,0,0,0,0,0.00,0.00
113279,Bryan Mbeumo,4023,Brentford,90,4,1,1,0,1.52,0.02
113280,Mikkel Damsgaard,4023,Brentford,90,0,0,4,1,0.00,0.23
113281,Kevin Schade,4023,Brentford,84,3,1,1,0,0.11,0.09
113282,Yoane Wissa,4023,Brentford,90,3,0,1,0,0.16,0.65
113283,Mathias Jensen,4023,Brentford,36,0,0,0,0,0.00,0.00
113284,Ben Mee,4023,Brentford,1,0,0,0,0,0.00,0.00
113285,Yehor Yarmolyuk,4023,Brentford,6,0,0,0,0,0.00,0.00
113286,Bernd Leno,4024,Fulham,90,0,0,0,0,0.00,0.00
113287,Timothy Castagne,4024,Fulham,90,0,0,1,0,0.00,0.05
113288,Joachim Andersen,4024,Fulham,90,1,0,0,0,0.08,0.00
113289,Calvin Bassey,4024,Fulham,90,0,0,0,0,0.00,0.00
113290,Antonee Robinson,4024,Fulham,90,0,0,1,0,0.00,0.03
113291,Sander Berge,4024,Fulham,90,0,0,1,0,0.00,0.06
113292,Sasa Lukic,4024,Fulham,84,0,0,0,0,0.00,0.00
113293,Harry Wilson,4024,Fulham,54,0,0,0,0,0.00,0.00
113294,Emile Smith-Rowe,4024,Fulham,83,1,0,1,0,0.10,0.07
113295,Alex Iwobi,4024,Fulham,90,2,0,1,0,0.11,0.04
113296,Raúl Jiménez,4024,Fulham,65,2,0,1,0,0.07,0.05
113297,Andreas Pereira,4024,Fulham,7,0,0,1,0,0.00,0.08
113298,Rodrigo Muniz,4024,Fulham,25,2,0,0,0,0.13,0.00
113299,Adama Traoré,4024,Fulham,36,1,0,0,0,0.07,0.00
113300,Tom Cairney,4024,Fulham,6,0,0,0,0,0.00,0.00
113301,André Onana,4024,Manchester United,90,0,0,0,0,0.00,0.00
113302,Lisandro Martínez,4024,Manchester United,90,1,1,0,0,0.02,0.00
113303,Matthijs de Ligt,4024,Manchester United,59,1,0,0,0,0.10,0.00
113304,Harry Maguire,4024,Manchester United,90,0,0,0,0,0.00,0.00
113305,Diogo Dalot,4024,Manchester United,90,0,0,0,0,0.00,0.00
113306,Noussair Mazraoui,4024,Manchester United,82,0,0,0,0,0.00,0.00
113307,Bruno Fernandes,4024,Manchester United,90,2,0,1,0,0.09,0.10
113308,Manuel Ugarte,4024,Manchester United,77,0,0,0,0,0.00,0.00
113309,Alejandro Garnacho,4024,Manchester United,82,0,0,0,0,0.00,0.00
113310,Amad Diallo Traore,4024,Manchester United,90,0,0,0,0,0.00,0.00
113311,Rasmus Højlund,4024,Manchester United,59,0,0,0,0,0.00,0.00
113312,Leny Yoro,4024,Manchester United,31,0,0,0,0,0.00,0.00
113313,Joshua Zirkzee,4024,Manchester United,31,0,0,0,0,0.00,0.00
113314,Tyrell Malacia,4024,Manchester United,8,0,0,0,0,0.00,0.00
113315,Kobbie Mainoo,4024,Manchester United,8,0,0,0,0,0.00,0.00
113316,Toby Collyer,4024,Manchester United,13,0,0,0,0,0.00,0.00
113317,Alisson,4025,Liverpool,90,0,0,0,0,0.00,0.00
113318,Trent Alexander-Arnold,4025,Liverpool,90,2,0,1,1,0.10,0.53
113319,Ibrahima Konaté,4025,Liverpool,90,0,0,2,1,0.00,0.12
113320,Virgil van Dijk,4025,Liverpool,90,2,0,0,0,0.03,0.00
113321,Andrew Robertson,4025,Liverpool,90,0,0,2,0,0.00,0.04
113322,Alexis Mac Allister,4025,Liverpool,87,1,0,3,0,0.03,0.19
113323,Ryan Gravenberch,4025,Liverpool,75,0,0,1,0,0.00,0.14
113324,Mohamed Salah,4025,Liverpool,90,3,1,1,0,0.41,0.08
113325,Dominik Szoboszlai,4025,Liverpool,75,4,1,1,0,0.30,0.03
113326,Cody Gakpo,4025,Liverpool,75,3,2,1,1,1.31,0.31
113327,Luis Díaz,4025,Liverpool,90,0,0,0,0,0.00,0.00
113328,Federico Chiesa,4025,Liverpool,1,0,0,0,0,0.00,0.00
113329,Wataru Endo,4025,Liverpool,15,0,0,0,0,0.00,0.00
113330,Darwin Núñez,4025,Liverpool,15,0,0,0,0,0.00,0.00
113331,Harvey Elliott,4025,Liverpool,15,1,0,0,0,0.09,0.00
113332,Jayden Danns,4025,Liverpool,3,0,0,0,0,0.00,0.00
113333,Christian Walton,4025,Ipswich,90,0,0,0,0,0.00,0.00
113334,Axel Tuanzebe,4025,Ipswich,90,0,0,0,0,0.00,0.00
113335,Dara O'Shea,4025,Ipswich,90,0,0,0,0,0.00,0.00
113336,Jacob Greaves,4025,Ipswich,90,1,1,0,0,0.50,0.00
113337,Leif Davis,4025,Ipswich,53,0,0,0,0,0.00,0.00
113338,Sam Morsy,4025,Ipswich,90,0,0,0,0,0.00,0.00
113339,Kalvin Phillips,4025,Ipswich,90,0,0,0,0,0.00,0.00
113340,Wes Burns,4025,Ipswich,28,0,0,0,0,0.00,0.00
113341,Omari Hutchinson,4025,Ipswich,86,1,0,0,0,0.02,0.00
113342,Jaden Philogene-Bidace,4025,Ipswich,86,0,0,0,0,0.00,0.00
113343,Liam Delap,4025,Ipswich,86,0,0,0,0,0.00,0.00
113344,Julio Enciso,4025,Ipswich,4,0,0,1,1,0.00,0.50
113345,Conor Townsend,4025,Ipswich,37,0,0,1,0,0.00,0.29
113346,George Hirst,4025,Ipswich,4,1,0,0,0,0.29,0.00
113347,Ben Johnson,4025,Ipswich,62,0,0,0,0,0.00,0.00
113348,Nathan Broadhead,4025,Ipswich,4,0,0,0,0,0.00,0.00
113349,Ederson,4026,Manchester City,90,0,0,1,1,0.00,0.26
113350,Matheus Nunes,4026,Manchester City,90,1,0,2,1,0.28,0.53
113351,Manuel Akanji,4026,Manchester City,90,0,0,0,0,0.00,0.00
113352,Abduqodir Khusanov,4026,Manchester City,56,1,0,0,0,0.02,0.00
113353,Josko Gvardiol,4026,Manchester City,90,3,1,0,0,0.82,0.00
113354,Mateo Kovacic,4026,Manchester City,90,1,0,2,0,0.07,0.31
113355,Ilkay Gündogan,4026,Manchester City,90,1,0,1,0,0.03,0.28
113356,Bernardo Silva,4026,Manchester City,90,0,0,1,0,0.00,0.02
113357,Phil Foden,4026,Manchester City,90,3,1,0,0,0.58,0.00
113358,Erling Haaland,4026,Manchester City,90,3,1,3,1,0.44,0.52
113359,Omar Marmoush,4026,Manchester City,76,2,0,1,0,0.12,0.18
113360,Kevin De Bruyne,4026,Manchester City,14,0,0,0,0,0.00,0.00
113361,John Stones,4026,Manchester City,34,0,0,0,0,0.00,0.00
113362,Robert Sánchez,4026,Chelsea,90,0,0,0,0,0.00,0.00
113363,Reece James,4026,Chelsea,75,1,0,0,0,0.02,0.00
113364,Trevoh Chalobah,4026,Chelsea,90,0,0,0,0,0.00,0.00
113365,Levi Colwill,4026,Chelsea,90,1,0,0,0,0.40,0.00
113366,Marc Cucurella,4026,Chelsea,90,1,0,1,0,0.07,0.14
113367,Enzo Fernández,4026,Chelsea,90,1,0,2,0,0.05,0.11
113368,Moisés Caicedo,4026,Chelsea,90,0,0,0,0,0.00,0.00
113369,Noni Madueke,4026,Chelsea,90,2,1,1,0,0.58,0.04
113370,Cole Palmer,4026,Chelsea,90,1,0,1,0,0.04,0.02
113371,Jadon Sancho,4026,Chelsea,75,1,0,1,0,0.15,0.07
113372,Nicolas Jackson,4026,Chelsea,63,2,0,2,1,0.19,0.67
113373,Christopher Nkunku,4026,Chelsea,27,0,0,0,0,0.00,0.00
113374,Malo Gusto,4026,Chelsea,15,0,0,0,0,0.00,0.00
113375,Pedro Neto,4026,Chelsea,15,0,0,0,0,0.00,0.00
113376,Alex McCarthy,4027,Southampton,90,0,0,0,0,0.00,0.00
113377,Jan Bednarek,4027,Southampton,90,1,1,0,0,0.37,0.00
113378,James Bree,4027,Southampton,90,1,0,2,1,0.02,0.38
113379,Taylor Harwood-Bellis,4027,Southampton,90,2,0,1,0,0.13,0.03
113380,Kyle Walker-Peters,4027,Southampton,90,1,0,2,0,0.02,0.08
113381,Chimuanya Ugochukwu,4027,Southampton,82,1,0,0,0,0.01,0.00
113382,Joe Ayodele-Aribo,4027,Southampton,90,0,0,0,0,0.00,0.00
113383,Ryan Manning,4027,Southampton,63,0,0,2,0,0.00,0.03
113384,Mateus Fernandes,4027,Southampton,90,3,0,1,0,0.14,0.04
113385,Paul Onuachu,4027,Southampton,90,0,0,2,0,0.00,0.12
113386,Adam Armstrong,4027,Southampton,63,2,0,0,0,0.08,0.00
113387,William Smallbone,4027,Southampton,8,0,0,0,0,0.00,0.00
113388,Yukinari Sugawara,4027,Southampton,27,0,0,0,0,0.00,0.00
113389,Adam Lallana,4027,Southampton,1,0,0,0,0,0.00,0.00
113390,Cameron Archer,4027,Southampton,27,1,0,0,0,0.06,0.00
113391,Ryan Fraser,4027,Southampton,1,0,0,0,0,0.00,0.00
113392,Martin Dubravka,4027,Newcastle United,90,0,0,0,0,0.00,0.00
113393,Valentino Livramento,4027,Newcastle United,90,1,0,2,0,0.02,0.29
113394,Fabian Schär,4027,Newcastle United,90,1,0,1,0,0.27,0.12
113395,Dan Burn,4027,Newcastle United,90,1,0,1,0,0.27,0.03
113396,Lewis Hall,4027,Newcastle United,90,1,0,0,0,0.03,0.00
113397,Joelinton,4027,Newcastle United,90,2,0,0,0,0.53,0.00
113398,Bruno Guimarães,4027,Newcastle United,82,0,0,2,0,0.00,0.34
113399,Sandro Tonali,4027,Newcastle United,90,1,1,0,0,0.38,0.00
113400,Jacob Murphy,4027,Newcastle United,90,2,0,4,1,0.07,0.54
113401,Alexander Isak,4027,Newcastle United,83,4,2,1,0,1.31,0.05
113402,Anthony Gordon,4027,Newcastle United,90,2,0,1,1,0.07,0.38
113403,Miguel Almirón,4027,Newcastle United,1,1,0,1,0,0.12,0.03
113404,Joe Willock,4027,Newcastle United,7,1,0,1,0,0.03,0.03
113405,Sean Longstaff,4027,Newcastle United,1,0,0,0,0,0.00,0.00
113406,Lewis Miley,4027,Newcastle United,8,0,0,0,0,0.00,0.00
113407,Antonín Kinsky,4028,Tottenham,90,0,0,1,0,0.00,0.22
113408,Pedro Porro,4028,Tottenham,90,5,0,2,1,0.21,0.60
113409,Radu Dragusin,4028,Tottenham,90,1,0,2,0,0.01,0.17
113410,Ben Davies,4028,Tottenham,90,1,0,0,0,0.12,0.00
113411,Archie Gray,4028,Tottenham,90,0,0,0,0,0.00,0.00
113412,Pape Sarr,4028,Tottenham,55,1,0,0,0,0.02,0.00
113413,Lucas Bergvall,4028,Tottenham,90,0,0,2,0,0.00,0.06
113414,Rodrigo Bentancur,4028,Tottenham,90,2,0,0,0,0.04,0.00
113415,Dejan Kulusevski,4028,Tottenham,90,1,0,1,0,0.22,0.05
113416,Richarlison,4028,Tottenham,55,1,1,0,0,0.59,0.00
113417,Son Heung-Min,4028,Tottenham,90,1,0,2,0,0.03,0.06
113418,Sergio Reguilón,4028,Tottenham,35,0,0,0,0,0.00,0.00
113419,Mikey Moore,4028,Tottenham,35,1,0,0,0,0.04,0.00
113420,Will Lankshear,4028,Tottenham,1,0,0,0,0,0.00,0.00
113421,Jakub Stolarczyk,4028,Leicester,90,0,0,0,0,0.00,0.00
113422,James Justin,4028,Leicester,90,2,0,0,0,0.09,0.00
113423,Wout Faes,4028,Leicester,90,1,0,0,0,0.06,0.00
113424,Jannik Vestergaard,4028,Leicester,90,0,0,1,0,0.00,0.02
113425,Victor Kristiansen,4028,Leicester,90,0,0,1,0,0.00,0.05
113426,Boubakary Soumare,4028,Leicester,90,1,0,1,0,0.02,0.06
113427,Harry Winks,4028,Leicester,90,0,0,1,0,0.00,0.07
113428,Jordan Ayew,4028,Leicester,88,2,0,1,0,0.09,0.13
113429,Bilal El Khannouss,4028,Leicester,78,3,1,0,0,0.06,0.00
113430,Bobby Reid,4028,Leicester,87,0,0,4,2,0.00,0.96
113431,Jamie Vardy,4028,Leicester,78,3,1,0,0,1.09,0.00
113432,Facundo Buonanotte,4028,Leicester,12,0,0,0,0,0.00,0.00
113433,Woyo Coulibaly,4028,Leicester,1,0,0,0,0,0.00,0.00
113434,Patson Daka,4028,Leicester,12,0,0,0,0,0.00,0.00
113435,Oliver Skipp,4028,Leicester,3,0,0,0,0,0.00,0.00
113436,Conor Coady,4028,Leicester,2,0,0,0,0,0.00,0.00
113437,José Sá,4029,Wolverhampton Wanderers,90,0,0,1,0,0.00,0.02
113438,Matt Doherty,4029,Wolverhampton Wanderers,90,0,0,2,0,0.00,0.04
113439,Santiago Bueno,4029,Wolverhampton Wanderers,90,0,0,0,0,0.00,0.00
113440,Emmanuel Agbadou,4029,Wolverhampton Wanderers,90,1,0,0,0,0.01,0.00
113441,Nélson Semedo,4029,Wolverhampton Wanderers,90,0,0,2,0,0.00,0.29
113442,Rayan Ait Nouri,4029,Wolverhampton Wanderers,90,1,0,0,0,0.02,0.00
113443,André,4029,Wolverhampton Wanderers,90,0,0,0,0,0.00,0.00
113444,João Gomes,4029,Wolverhampton Wanderers,77,0,0,0,0,0.00,0.00
113445,Matheus Cunha,4029,Wolverhampton Wanderers,90,4,0,1,0,0.16,0.03
113446,Pablo Sarabia,4029,Wolverhampton Wanderers,82,2,0,0,0,0.29,0.00
113447,Jørgen Strand Larsen,4029,Wolverhampton Wanderers,31,0,0,0,0,0.00,0.00
113448,Jean-Ricner Bellegarde,4029,Wolverhampton Wanderers,8,0,0,0,0,0.00,0.00
113449,Rodrigo Gomes,4029,Wolverhampton Wanderers,1,0,0,0,0,0.00,0.00
113450,Gonçalo Guedes,4029,Wolverhampton Wanderers,1,0,0,0,0,0.00,0.00
113451,Hee-Chan Hwang,4029,Wolverhampton Wanderers,59,1,0,1,0,0.03,0.01
113452,Tommy Doyle,4029,Wolverhampton Wanderers,1,0,0,0,0,0.00,0.00
113453,David Raya,4029,Arsenal,90,0,0,0,0,0.00,0.00
113454,Jurriën Timber,4029,Arsenal,90,0,0,0,0,0.00,0.00
113455,Gabriel,4029,Arsenal,90,1,0,1,0,0.09,0.04
113456,William Saliba,4029,Arsenal,90,0,0,0,0,0.00,0.00
113457,Myles Lewis-Skelly,4029,Arsenal,42,0,0,0,0,0.00,0.00
113458,Thomas Partey,4029,Arsenal,90,1,0,0,0,0.02,0.00
113459,Ethan Nwaneri,4029,Arsenal,53,2,0,0,0,0.20,0.00
113460,Declan Rice,4029,Arsenal,90,1,0,3,0,0.05,0.24
113461,Gabriel Martinelli,4029,Arsenal,90,0,0,1,0,0.00,0.05
113462,Kai Havertz,4029,Arsenal,90,3,0,0,0,0.48,0.00
113463,Leandro Trossard,4029,Arsenal,90,0,0,2,0,0.00,0.35
113464,Riccardo Calafiori,4029,Arsenal,37,1,1,0,0,0.06,0.00
113465,Kieran Tierney,4029,Arsenal,1,0,0,0,0,0.00,0.00
113466,Kepa,4030,Bournemouth,90,0,0,0,0,0.00,0.00
113467,Lewis Cook,4030,Bournemouth,90,0,0,0,0,0.00,0.00
113468,Dean Huijsen,4030,Bournemouth,90,1,0,0,0,0.01,0.00
113469,Illia Zabarnyi,4030,Bournemouth,90,0,0,1,0,0.00,0.03
113470,Milos Kerkez,4030,Bournemouth,90,0,0,0,0,0.00,0.00
113471,Tyler Adams,4030,Bournemouth,90,0,0,0,0,0.00,0.00
113472,Ryan Christie,4030,Bournemouth,85,1,0,2,0,0.02,0.38
113473,David Brooks,4030,Bournemouth,71,0,0,1,0,0.00,0.30
113474,Justin Kluivert,4030,Bournemouth,90,3,0,2,0,0.50,0.10
113475,Antoine Semenyo,4030,Bournemouth,90,6,0,0,0,0.80,0.00
113476,Dango Ouattara,4030,Bournemouth,90,1,0,2,0,0.30,0.31
113477,Daniel Jebbison,4030,Bournemouth,5,0,0,0,0,0.00,0.00
